"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 10, 2019","96.833","96.665","96.880","96.627","-","0.36%"
"Jun 07, 2019","96.490","96.965","97.130","96.405","-","-0.52%"
"Jun 06, 2019","96.997","97.265","97.390","96.720","27.67K","-0.26%"
"Jun 05, 2019","97.251","97.055","97.305","96.655","25.32K","0.26%"
"Jun 04, 2019","96.999","97.135","97.275","96.900","25.60K","-0.06%"
"Jun 03, 2019","97.060","97.700","97.720","97.015","29.61K","-0.62%"
"May 31, 2019","97.666","98.085","98.085","97.630","19.07K","-0.39%"
"May 30, 2019","98.053","98.040","98.195","98.000","7.34K","0.02%"
"May 29, 2019","98.035","97.795","98.100","97.750","12.41K","0.20%"
"May 28, 2019","97.842","97.605","97.865","97.570","13.14K","0.37%"
"May 27, 2019","97.477","97.430","97.665","97.420","2.94K","0.00%"
"May 24, 2019","97.477","97.720","97.775","97.410","9.77K","-0.25%"
"May 23, 2019","97.723","97.950","98.260","97.665","19.35K","-0.16%"
"May 22, 2019","97.881","97.870","97.970","97.730","7.57K","-0.02%"
"May 21, 2019","97.896","97.790","97.975","97.635","14.85K","0.14%"
"May 20, 2019","97.764","97.845","97.875","97.720","7.31K","-0.06%"
"May 17, 2019","97.824","97.665","97.860","97.590","8.63K","0.15%"
"May 16, 2019","97.678","97.355","97.715","97.265","12.12K","0.31%"
"May 15, 2019","97.376","97.345","97.515","97.240","13.64K","0.06%"
"May 14, 2019","97.322","97.115","97.360","97.075","9.00K","0.21%"
"May 13, 2019","97.120","97.110","97.195","96.810","17.10K","-0.01%"
"May 10, 2019","97.125","97.245","97.245","96.905","14.29K","-0.04%"
"May 09, 2019","97.164","97.370","97.490","97.010","17.59K","-0.23%"
"May 08, 2019","97.388","97.345","97.440","97.180","13.54K","-0.01%"
"May 07, 2019","97.399","97.285","97.510","97.135","17.16K","0.13%"
"May 06, 2019","97.268","97.335","97.465","97.225","9.24K","0.01%"
"May 03, 2019","97.260","97.575","97.865","97.185","12.96K","-0.33%"
"May 02, 2019","97.586","97.355","97.595","97.255","14.40K","0.18%"
"May 01, 2019","97.410","97.230","97.460","96.870","18.04K","0.22%"
"Apr 30, 2019","97.201","97.575","97.625","97.170","16.35K","-0.39%"
"Apr 29, 2019","97.581","97.750","97.840","97.545","8.42K","-0.15%"
"Apr 26, 2019","97.726","97.880","98.085","97.560","14.69K","-0.20%"
"Apr 25, 2019","97.919","97.800","98.055","97.715","16.65K","0.07%"
"Apr 24, 2019","97.855","97.265","97.880","97.265","20.00K","0.55%"
"Apr 23, 2019","97.320","96.970","97.460","96.955","12.19K","0.38%"
"Apr 22, 2019","96.955","97.085","97.100","96.920","6.23K","-0.20%"
"Apr 18, 2019","97.151","96.695","97.290","96.620","16.76K","0.51%"
"Apr 17, 2019","96.658","96.730","96.785","96.460","10.50K","0.01%"
