Date	Price				
03-Jan-00	6.594				
04-Jan-00	6.499				
05-Jan-00	6.599				
06-Jan-00	6.54				
07-Jan-00	6.513				
10-Jan-00	6.554				
11-Jan-00	6.659				
12-Jan-00	6.701				
13-Jan-00	6.632				
14-Jan-00	6.688				
17-Jan-00	6.683				
18-Jan-00	6.753				
19-Jan-00	6.73				
20-Jan-00	6.79				
21-Jan-00	6.772				
24-Jan-00	6.689				
25-Jan-00	6.694				
26-Jan-00	6.666				
27-Jan-00	6.699				
28-Jan-00	6.658				
31-Jan-00	6.662				
01-Feb-00	6.626				
02-Feb-00	6.575				
03-Feb-00	6.448				
04-Feb-00	6.558				
07-Feb-00	6.645				
08-Feb-00	6.618				
09-Feb-00	6.669				
10-Feb-00	6.673				
11-Feb-00	6.595				
14-Feb-00	6.56				
15-Feb-00	6.552				
16-Feb-00	6.543				
17-Feb-00	6.56				
18-Feb-00	6.483				
22-Feb-00	6.363				
23-Feb-00	6.422				
24-Feb-00	6.367				
25-Feb-00	6.337				
28-Feb-00	6.418				
29-Feb-00	6.409				
01-Mar-00	6.384				
02-Mar-00	6.388				
03-Mar-00	6.379				
06-Mar-00	6.413				
07-Mar-00	6.371				
08-Mar-00	6.392				
09-Mar-00	6.349				
10-Mar-00	6.387				
13-Mar-00	6.37				
14-Mar-00	6.294				
15-Mar-00	6.285				
16-Mar-00	6.247				
17-Mar-00	6.204				
20-Mar-00	6.192				
21-Mar-00	6.141				
22-Mar-00	6.12				
23-Mar-00	6.087				
24-Mar-00	6.191				
27-Mar-00	6.187				
28-Mar-00	6.153				
29-Mar-00	6.149				
30-Mar-00	6.048				
31-Mar-00	6.002				
03-Apr-00	5.965				
04-Apr-00	5.887				
05-Apr-00	5.87				
06-Apr-00	5.923				
07-Apr-00	5.845				
10-Apr-00	5.805				
11-Apr-00	5.883				
12-Apr-00	5.947				
13-Apr-00	5.931				
14-Apr-00	5.86				
17-Apr-00	6.042				
18-Apr-00	6.048				
19-Apr-00	5.998				
20-Apr-00	6				
24-Apr-00	6.023				
25-Apr-00	6.134				
26-Apr-00	6.138				
27-Apr-00	6.227				
28-Apr-00	6.218				
01-May-00	6.284				
02-May-00	6.304				
03-May-00	6.403				
04-May-00	6.429				
05-May-00	6.511				
08-May-00	6.568				
09-May-00	6.524				
10-May-00	6.457				
11-May-00	6.42				
12-May-00	6.524				
15-May-00	6.452				
16-May-00	6.433				
17-May-00	6.489				
18-May-00	6.542				
19-May-00	6.498				
22-May-00	6.45				
23-May-00	6.428				
24-May-00	6.479				
25-May-00	6.398				
26-May-00	6.327				
30-May-00	6.38				
31-May-00	6.285				
01-Jun-00	6.188				
02-Jun-00	6.169				
05-Jun-00	6.116				
06-Jun-00	6.127				
07-Jun-00	6.152				
08-Jun-00	6.131				
09-Jun-00	6.126				
12-Jun-00	6.079				
13-Jun-00	6.113				
14-Jun-00	6.05				
15-Jun-00	6.05				
16-Jun-00	5.98				
19-Jun-00	6.003				
20-Jun-00	6.023				
21-Jun-00	6.111				
22-Jun-00	6.107				
23-Jun-00	6.185				
26-Jun-00	6.102				
27-Jun-00	6.093				
28-Jun-00	6.106				
29-Jun-00	6.036				
30-Jun-00	6.027				
03-Jul-00	5.991				
05-Jul-00	5.984				
06-Jul-00	6.05				
07-Jul-00	6.015				
10-Jul-00	6.043				
11-Jul-00	6.056				
12-Jul-00	6.082				
13-Jul-00	6.008				
14-Jul-00	6.101				
17-Jul-00	6.152				
18-Jul-00	6.146				
19-Jul-00	6.165				
20-Jul-00	6.013				
21-Jul-00	5.998				
24-Jul-00	6.031				
25-Jul-00	6.032				
26-Jul-00	6.028				
27-Jul-00	6.004				
28-Jul-00	6.036				
31-Jul-00	6.04				
01-Aug-00	5.991				
02-Aug-00	5.978				
03-Aug-00	5.957				
04-Aug-00	5.905				
07-Aug-00	5.963				
08-Aug-00	5.922				
09-Aug-00	5.92				
10-Aug-00	5.764				
11-Aug-00	5.791				
14-Aug-00	5.773				
15-Aug-00	5.802				
16-Aug-00	5.838				
17-Aug-00	5.821				
18-Aug-00	5.777				
21-Aug-00	5.787				
22-Aug-00	5.779				
23-Aug-00	5.729				
24-Aug-00	5.721				
25-Aug-00	5.733				
28-Aug-00	5.772				
29-Aug-00	5.814				
30-Aug-00	5.795				
31-Aug-00	5.729				
01-Sep-00	5.685				
05-Sep-00	5.689				
06-Sep-00	5.729				
07-Sep-00	5.754				
08-Sep-00	5.737				
11-Sep-00	5.777				
12-Sep-00	5.779				
13-Sep-00	5.731				
14-Sep-00	5.793				
15-Sep-00	5.837				
18-Sep-00	5.871				
19-Sep-00	5.858				
20-Sep-00	5.905				
21-Sep-00	5.85				
22-Sep-00	5.848				
25-Sep-00	5.848				
26-Sep-00	5.804				
27-Sep-00	5.823				
28-Sep-00	5.825				
29-Sep-00	5.808				
02-Oct-00	5.831				
03-Oct-00	5.861				
